,Nasion,Sella,Porion,Orbitale,Pterygoid,Basion,ANS,PNS,A_point,B_point,Protuberance_menti,Pogonion,Menton,Go_1_Corpuus left,Go_2_Ramus_down,Articulare,R3,R1,Maxilla_1_crown,Maxilla_1_root,Mandible_1_crown,Mandible_1_root,Maxilla_6_distal,Maxilla_6_root,Mandible_6_distal,Mandible_6_root,Glabella,Soft_tissue_naison,Dorsum_of_nose,pronasale,Colunella,Subnasalle,Soft_tissue_A_point,Labrale_superius,Upper_lip,Stms,Upper_embrasure,Lower_embrasure,Stmi,Lower_lip,Labial_Inferius,Soft_tissue_b_point,Soft_tissue_pogonion,Soft_tissue_Gnathion,Soft_tissue_Menton,Cervical_point
31,6.08,2.24,5.66,5.66,9.22,6.08,5.0,3.16,4.47,1.0,8.6,5.0,6.4,5.1,15.65,11.4,9.22,7.21,5.39,6.32,5.0,7.21,4.24,3.61,2.0,11.18,8.06,7.07,9.22,1.41,6.4,5.0,3.61,3.16,5.0,3.61,2.83,1.41,5.0,2.0,6.4,8.94,4.24,2.0,9.43,16.64
32,7.62,3.16,4.0,4.24,7.81,5.39,3.16,3.61,5.0,4.24,9.85,5.0,5.39,4.24,10.3,6.71,5.1,6.71,8.25,5.0,6.71,4.24,6.08,12.81,5.1,8.0,5.0,9.22,5.0,8.6,6.4,6.71,3.0,3.0,9.22,3.61,8.06,5.1,13.04,2.83,8.94,2.83,6.0,8.25,4.0,118.23
33,5.0,4.12,4.12,6.32,4.47,5.0,6.4,2.24,7.21,7.81,6.4,5.0,6.71,4.12,8.94,7.62,11.18,5.66,8.06,9.49,10.77,9.22,6.0,8.54,1.41,5.39,6.71,4.24,6.71,5.39,8.06,6.08,5.39,5.83,8.49,4.47,4.12,4.12,3.16,3.0,8.49,4.47,5.83,4.61,5.83,8.25
34,5.1,4.47,1.0,5.66,6.4,9.22,176.05,1.0,7.81,7.21,11.31,9.43,5.39,6.4,10.63,2.0,4.0,5.83,6.4,3.16,5.1,8.49,9.22,7.81,5.1,11.31,7.21,3.16,3.16,3.61,6.4,7.21,3.16,4.12,3.16,5.66,4.47,6.32,5.0,1.0,5.66,4.12,5.66,4.12,9.49,17.03
35,8.49,6.32,7.0,6.4,10.44,260.34,1.41,2.0,8.94,5.0,4.12,6.08,7.07,9.43,9.22,11.18,5.39,6.32,3.61,3.61,8.94,4.12,9.22,11.05,5.1,7.81,3.61,10.63,2.24,6.71,5.1,8.06,2.83,2.24,6.08,2.83,1.41,2.83,5.39,6.71,9.22,9.22,12.37,7.81,74.17,119.85
36,24.6,11.18,11.18,11.4,12.65,4.12,2.24,4.12,8.54,3.0,7.07,8.06,7.62,14.87,13.93,8.94,20.12,2.83,2.24,3.0,8.06,8.94,5.39,7.81,7.81,6.32,245.4,11.66,6.08,5.39,7.21,4.24,3.16,2.0,8.49,7.28,5.1,6.08,9.9,4.12,5.66,8.25,7.81,6.08,7.81,5.0
37,6.32,5.1,5.0,8.0,9.85,5.39,5.1,3.16,9.43,6.08,5.83,5.1,7.21,7.07,5.1,10.0,8.25,3.61,3.0,5.1,6.32,8.25,1.41,5.0,5.39,11.1,7.62,9.43,8.6,6.08,6.71,6.0,2.24,2.24,9.43,5.39,5.0,5.1,2.83,6.4,9.22,4.12,8.94,5.0,5.0,8.6
38,1.0,5.83,7.0,6.71,4.0,6.4,6.4,6.32,11.4,3.16,7.07,7.0,5.83,0.0,7.62,5.83,6.0,3.16,11.66,6.4,11.18,12.17,6.4,8.49,3.0,10.2,5.66,6.0,14.32,10.0,3.16,6.4,1.0,2.0,3.61,1.0,2.24,,7.28,2.83,10.0,9.06,13.04,10.0,5.39,12.81
39,8.0,2.83,8.6,10.05,6.4,2.24,1.0,2.0,6.4,7.21,5.1,5.1,3.61,5.0,10.2,9.22,8.6,9.0,6.4,4.0,8.0,7.62,4.47,8.06,6.71,5.66,7.62,6.4,5.39,2.24,5.66,6.71,3.61,5.83,8.6,3.16,6.32,,5.66,2.24,7.81,7.28,6.4,3.0,2.24,13.45
40,8.06,1.0,11.18,3.61,3.61,6.71,3.16,3.0,4.47,7.21,7.81,8.0,5.0,9.0,10.2,5.0,6.71,5.83,9.22,4.12,5.1,8.49,12.65,26.25,16.55,6.08,7.07,5.66,5.1,9.0,4.24,7.28,7.81,2.24,5.39,2.0,1.41,20.02,2.0,5.83,6.4,2.83,7.62,5.83,9.49,10.44
41,8.6,6.08,5.0,5.83,5.0,5.39,4.88,5.39,8.6,4.24,8.06,5.0,6.32,5.0,10.0,7.07,5.0,5.66,2.0,7.21,6.71,8.73,4.47,6.08,5.1,8.06,4.24,4.47,9.06,5.66,6.4,7.28,6.08,3.61,9.43,3.0,0.0,3.0,5.1,5.0,10.63,6.4,1.41,3.16,6.0,11.0
42,7.28,6.71,9.06,3.16,4.24,7.07,7.28,6.32,7.81,5.39,8.06,10.0,5.1,8.6,11.18,6.02,9.49,10.0,15.26,5.0,1.0,11.4,10.3,8.6,4.0,6.4,7.21,10.63,7.28,6.71,6.71,6.4,4.0,6.71,10.2,5.39,2.24,9.22,8.54,11.7,11.31,5.39,4.12,7.28,9.06,19.65
43,15.81,4.12,7.0,12.17,6.4,10.2,5.83,4.12,10.2,5.39,9.22,8.25,3.61,5.39,6.4,9.85,3.16,3.61,7.07,5.1,9.49,3.16,4.12,7.07,5.0,6.08,12.65,5.1,6.4,2.24,4.47,10.77,3.16,1.0,5.39,2.24,3.61,2.24,6.0,1.41,10.0,4.47,4.47,5.66,10.2,20.59
44,7.0,3.16,7.07,7.07,6.4,7.0,2.24,6.32,5.83,7.07,3.91,6.71,8.6,2.24,10.3,5.0,4.47,5.1,4.47,7.28,9.22,7.21,7.21,6.73,5.39,11.7,7.62,7.21,4.12,7.21,9.22,5.39,4.47,1.0,7.28,4.47,6.08,7.07,1.0,2.83,11.4,6.4,5.39,1.41,5.0,8.6
45,7.07,5.39,6.32,6.32,4.12,5.83,5.83,5.0,6.71,2.24,8.06,7.0,5.39,1.41,7.62,8.6,6.32,7.21,5.83,4.47,7.62,8.6,10.05,10.0,5.39,6.4,5.0,8.6,10.44,5.0,7.07,7.28,2.83,7.07,8.94,5.83,5.1,2.0,8.06,6.0,10.3,1.41,9.22,7.07,4.47,18.03
46,5.0,3.0,6.4,2.24,5.83,8.25,2.24,3.16,4.12,7.62,5.83,10.77,9.85,3.16,7.0,4.12,8.94,0.0,3.61,9.22,6.08,9.22,5.66,13.89,3.61,6.08,7.28,7.28,9.22,2.24,3.16,4.0,3.16,1.0,6.32,2.0,5.83,3.16,4.12,2.0,8.06,5.0,5.0,3.16,6.32,4.12
47,5.83,0.0,5.66,5.0,5.1,6.71,5.0,2.83,6.08,8.54,8.06,7.0,5.39,6.4,2.0,2.0,8.49,3.0,5.83,3.61,4.12,9.22,2.24,8.06,5.66,5.66,7.07,7.07,1.41,5.0,5.39,7.28,4.12,7.21,7.81,2.0,3.61,6.32,6.4,4.24,12.73,5.0,7.21,2.24,5.0,3.0
48,2.0,6.0,7.21,8.6,8.54,5.83,1.41,3.16,4.47,3.16,8.94,7.07,3.16,7.07,6.0,6.32,11.05,5.0,4.0,2.24,7.07,8.49,9.9,9.06,4.12,12.53,7.0,7.07,6.71,9.43,4.0,5.83,2.83,4.24,3.61,2.24,3.16,4.12,5.39,2.24,9.9,6.4,1.41,2.24,4.12,6.0
49,3.16,6.0,8.54,11.4,5.1,7.62,2.24,2.24,4.0,4.0,4.0,4.12,5.1,4.47,5.39,4.12,5.39,5.39,3.16,6.32,4.47,8.6,4.47,11.7,5.0,9.43,7.0,7.07,8.0,6.32,3.0,3.61,4.12,3.0,8.6,3.0,4.47,4.24,6.4,3.16,5.83,4.12,2.24,5.1,8.54,9.22
